YEAR,SERIAL,HWTSUPP,CPSID,ASECFLAG,HFLAG,METAREA,MONTH,PERNUM,CPSIDP,WTSUPP,SEX,RACE,OCC2010,INCTOT
2013,93063,2822.42,20130300518600.0,1,,7365,3,1,20130300518601.0,2822.42,2,803,5700,74360
2013,93063,2822.42,20130300518600.0,1,,7365,3,2,20130300518602.0,2822.42,1,100,140,39010
2013,93063,2822.42,20130300518600.0,1,,7365,3,3,20130300518603.0,5220.67,2,803,9920,99999999
2013,93064,1834.84,20121200631600.0,1,,7365,3,1,20121200631601.0,1834.84,1,651,4110,40015
2013,93064,1834.84,20121200631600.0,1,,7365,3,2,20121200631602.0,1834.84,2,651,800,61015
2013,93064,1834.84,20121200631600.0,1,,7365,3,3,20121200631603.0,1433.1,1,651,9920,0
2013,93064,1834.84,20121200631600.0,1,,7365,3,4,20121200631604.0,1433.1,1,651,430,97020
2013,93065,1748.64,20121200613000.0,1,,7365,3,1,20121200613001.0,1748.64,1,651,100,71502
2013,93065,1748.64,20121200613000.0,1,,7365,3,2,20121200613002.0,1748.64,2,651,5700,66838
2013,93065,1748.64,20121200613000.0,1,,7365,3,3,20121200613003.0,1346.22,1,651,9920,99999999
2013,93066,1995.66,20121200779600.0,1,,7365,3,1,20121200779601.0,1995.66,1,651,1460,85084
2013,93066,1995.66,20121200779600.0,1,,7365,3,2,20121200779602.0,1995.66,2,651,5700,14337
2013,93066,1995.66,20121200779600.0,1,,7365,3,3,20121200779603.0,1500.77,1,651,9920,99999999
2013,93067,1576.56,20121200710700.0,1,,7365,3,1,20121200710701.0,1576.56,1,100,4700,120000
2013,93067,1576.56,20121200710700.0,1,,7365,3,2,20121200710702.0,1576.56,2,100,5120,1800
2013,93067,1576.56,20121200710700.0,1,,7365,3,3,20121200710703.0,1296.05,2,100,9920,99999999
2013,93067,1576.56,20121200710700.0,1,,7365,3,4,20121200710704.0,1296.05,2,100,9920,99999999
2013,93068,1277.3,20121200711000.0,1,,7365,3,1,20121200711001.0,1277.3,1,100,9620,8000
2013,93068,1277.3,20121200711000.0,1,,7365,3,2,20121200711005.0,1240.5,2,100,4230,23000
2013,93068,1277.3,20121200711000.0,1,,7365,3,3,20121200711006.0,2223.2,1,100,4230,5000
2013,93068,1277.3,20121200711000.0,1,,7365,3,4,20121200711007.0,1948.66,1,100,9620,35000
2013,93069,3112.76,20121200720700.0,1,,7365,3,1,20121200720701.0,3112.76,2,100,9920,0
2013,93069,3112.76,20121200720700.0,1,,7365,3,2,20121200720702.0,3112.76,1,100,8810,25000
2013,93069,3112.76,20121200720700.0,1,,7365,3,3,20121200720704.0,2958.32,2,100,9920,99999999
2013,93069,3112.76,20121200720700.0,1,,7365,3,4,20121200720703.0,3028.18,1,100,9920,99999999
2013,93069,3112.76,20121200720700.0,1,,7365,3,5,20121200720705.0,2492.73,1,100,9920,99999999
2013,93069,3112.76,20121200720700.0,1,,7365,3,6,20121200720706.0,4411.8,1,100,205,0
2013,93071,1240.5,20121200657200.0,1,,7365,3,1,20121200657201.0,1240.5,1,100,6260,18000
2013,93071,1240.5,20121200657200.0,1,,7365,3,2,20121200657202.0,1240.5,2,100,9920,0
2013,93071,1240.5,20121200657200.0,1,,7365,3,3,20121200657206.0,1327.31,2,100,9920,0
2013,93071,1240.5,20121200657200.0,1,,7365,3,4,20121200657205.0,1644.52,2,100,9920,0
2013,93071,1240.5,20121200657200.0,1,,7365,3,5,20121200657204.0,1370.19,1,100,9920,99999999
2013,93071,1240.5,20121200657200.0,1,,7365,3,6,20121200657203.0,1406.66,2,100,9920,99999999
2013,93072,3137.8,20121200747800.0,1,,7365,3,1,20121200747801.0,3137.8,2,100,9920,13055
2013,93072,3137.8,20121200747800.0,1,,7365,3,2,20121200747802.0,2700.89,1,100,4000,250
2013,93073,3447.39,20121200675500.0,1,,7365,3,1,20121200675501.0,3447.39,2,100,2200,14750
2013,93074,1576.56,20121200641300.0,1,,7365,3,1,20121200641301.0,1576.56,2,100,4520,8801
2013,93074,1576.56,20121200641300.0,1,,7365,3,2,20121200641302.0,1621.32,2,100,9920,99999999
2013,93075,3137.8,20121200712900.0,1,,7365,3,1,20121200712901.0,3137.8,2,100,5860,18016
2013,93075,3137.8,20121200712900.0,1,,7365,3,2,20121200712902.0,2700.89,1,100,9920,3002
2013,93077,1770.61,20121200723500.0,1,,7365,3,1,20121200723501.0,1770.61,2,651,3130,84070
2013,93077,1770.61,20121200723500.0,1,,7365,3,2,20121200723502.0,1770.61,1,200,9140,45010
2013,93077,1770.61,20121200723500.0,1,,7365,3,3,20121200723505.0,2069.22,1,806,4120,8
2013,93077,1770.61,20121200723500.0,1,,7365,3,4,20121200723504.0,1923.56,2,806,9920,0
2013,93077,1770.61,20121200723500.0,1,,7365,3,5,20121200723503.0,2627.79,2,806,9920,99999999
2013,93078,1664.73,20121200721400.0,1,,7365,3,1,20121200721401.0,1664.73,2,100,3060,24100
